Designator,Footprint,Quantity,Value,LCSC Part #
"D1, D10, D11, D12, D13, D14, D15, D16, D17, D18, D19, D2, D20, D21, D22, D3, D4, D5, D6, D7, D8, D9",Nexperia_CFP3_SOD-123W,22,D,
J1,JST_EH_S2B-EH_1x02_P2.50mm_Horizontal,1,Conn_01x02_Socket,
"SW1, SW10, SW11, SW12, SW13, SW14, SW15, SW16, SW17, SW18, SW19, SW2, SW20, SW21, SW22, SW3, SW4, SW5, SW6, SW7, SW8, SW9",keyswitch_choc12_hotswap_1u,22,SW_PUSH,
SW23,SW_SPDT_PCM12,1,PCM12SMTR,
U1,ProMicro,1,ProMicro,
